distance,consume,speed,temp_inside,temp_outside,gas_type,ac,rain,sun,distance_labels,consume_labels
12.3,5.2,55,21.93491124260355,12,SP98,0,0,0,<50,"4.7-5,3"
2.0,6.2,20,21.93491124260355,10,SP98,0,0,0,<50,5.3-8
13.9,5.1,29,21.93491124260355,6,SP98,0,0,0,<50,"4.7-5,3"
9.7,3.9,42,21.93491124260355,8,SP98,0,0,0,<50,<4.7
11.6,5.0,25,21.93491124260355,6,SP98,0,0,0,<50,"4.7-5,3"
14.2,5.4,38,21.93491124260355,7,SP98,0,0,0,<50,5.3-8
11.8,4.5,39,21.93491124260355,6,SP98,0,0,0,<50,<4.7
24.8,5.1,50,21.93491124260355,9,SP98,0,0,0,<50,"4.7-5,3"
12.4,4.7,56,21.93491124260355,7,SP98,0,0,0,<50,<4.7
34.8,4.0,28,20.0,4,SP98,0,0,0,<50,<4.7
14.2,5.4,36,20.0,6,SP98,0,0,0,<50,5.3-8
5.2,4.5,39,20.0,10,SP98,0,0,0,<50,<4.7
10.5,3.6,42,20.0,10,SP98,0,0,0,<50,<4.7
12.3,5.2,57,20.0,10,SP98,0,0,0,<50,"4.7-5,3"
11.8,4.9,25,20.0,11,SP98,0,0,0,<50,"4.7-5,3"
12.3,6.2,58,20.0,11,SP98,0,1,0,<50,5.3-8
13.2,4.3,51,20.0,11,SP98,0,1,0,<50,<4.7
13.0,5.0,45,20.0,11,SP98,0,1,0,<50,"4.7-5,3"
12.9,5.1,32,20.0,11,SP98,0,0,0,<50,"4.7-5,3"
13.9,5.6,22,20.0,8,SP98,0,0,0,<50,5.3-8
11.8,4.3,37,20.0,6,SP98,0,0,0,<50,<4.7
12.2,5.8,60,20.0,11,SP98,0,0,0,<50,5.3-8
12.5,4.0,51,20.0,13,SP98,0,0,0,<50,<4.7
12.4,4.7,43,21.93491124260355,10,SP98,0,0,0,<50,<4.7
11.8,5.9,21,20.0,9,SP98,1,1,0,<50,5.3-8
11.8,5.3,52,21.93491124260355,11,SP98,0,0,0,<50,"4.7-5,3"
12.5,4.2,57,20.0,11,SP98,0,0,0,<50,<4.7
15.7,5.3,33,21.93491124260355,9,SP98,0,0,0,<50,"4.7-5,3"
12.9,5.7,35,21.93491124260355,9,SP98,0,0,0,<50,5.3-8
6.4,4.4,37,21.93491124260355,10,SP98,0,0,0,<50,<4.7
5.3,4.1,34,21.93491124260355,9,SP98,0,0,0,<50,<4.7
26.2,5.8,71,21.0,8,SP98,1,1,0,<50,5.3-8
18.8,5.0,62,21.93491124260355,9,SP98,0,1,0,<50,"4.7-5,3"
4.9,6.9,25,21.0,12,SP98,0,1,0,<50,5.3-8
12.4,5.4,18,21.0,11,SP98,1,1,0,<50,5.3-8
22.9,5.3,45,21.93491124260355,7,SP98,0,0,0,<50,"4.7-5,3"
162.7,5.5,75,23.0,1,SP98,0,0,0,150-216.1,5.3-8
4.9,6.5,26,21.0,1,SP98,0,0,0,<50,5.3-8
11.8,4.7,36,21.0,4,SP98,0,0,0,<50,<4.7
16.6,5.1,56,21.0,7,SP98,0,0,0,<50,"4.7-5,3"
12.4,5.7,37,21.0,7,SP98,0,0,0,<50,5.3-8
15.9,5.4,25,21.0,7,SP98,0,0,0,<50,5.3-8
5.1,8.7,21,21.93491124260355,5,SP98,0,0,0,<50,8-12.2
22.4,4.9,66,21.93491124260355,7,SP98,0,0,0,<50,"4.7-5,3"
31.1,4.7,42,21.93491124260355,7,SP98,0,0,0,<50,<4.7
4.9,6.3,27,21.93491124260355,3,SP98,0,0,0,<50,5.3-8
11.8,5.1,26,23.0,4,SP98,0,1,0,<50,"4.7-5,3"
22.9,6.0,42,23.0,4,SP98,0,1,0,<50,5.3-8
12.4,4.6,38,23.0,1,SP98,0,1,0,<50,<4.7
12.9,5.8,40,23.0,4,SP98,0,0,0,<50,5.3-8
11.8,5.1,43,23.0,0,SP98,0,0,0,<50,"4.7-5,3"
12.2,5.8,58,23.0,2,SP98,0,0,0,<50,5.3-8
24.8,4.6,55,23.0,3,SP98,0,0,0,<50,<4.7
14.2,5.6,24,23.0,8,SP98,0,0,0,<50,5.3-8
11.8,4.6,38,23.0,0,SP98,0,1,0,<50,<4.7
12.2,6.3,57,23.0,0,SP98,0,1,0,<50,5.3-8
24.7,5.5,56,25.0,1,SP98,0,0,0,<50,5.3-8
